Fight_Id,Win/No Contest/Draw,Fighter_Id_1,Fighter_Id_2,Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time,Event_Id
9bc042a700d9a531,win,6fb1ba67bef41b37,7d96bc577e5178b2,Nik Lentz,Gray Maynard,1,0,75,13,2,0,1,0,Lightweight,KO/TKO Kick,2,1:19,1ef0eae31904e534
68ba4aca75b02496,win,5331b25a60417ffb,4c7781da8c6cae93,Anthony Rocco Martin,Ryan LaFlare,2,0,36,35,0,0,1,0,Welterweight,KO/TKO Kick,3,1:00,1ef0eae31904e534
7cdda45e7d52bf40,win,dea070ed4a2a8281,cad24459b28592ca,Thiago Santos,Eryk Anders,0,0,100,32,1,6,0,1,Light Heavyweight,KO/TKO,3,5:00,852454c572675334
a409a5381f082e8f,win,57b10fca4f9c9a7a,198994b47f395af0,Alex Oliveira,Carlo Pedersoli Jr.,0,0,7,2,0,0,0,0,Welterweight,KO/TKO Punch,1,0:39,852454c572675334
1669773acd404217,win,73e09f837f3b5ecc,d156513a19acf856,Rogerio Nogueira,Sam Alvey,1,0,26,34,0,0,0,0,Light Heavyweight,KO/TKO Punch,2,1:00,852454c572675334
f4187c30c311eb93,win,5f6f049d54728e88,2c99576fefe53c7c,Andre Ewell,Renan Barao,1,0,53,44,1,3,0,2,Bantamweight,S-DEC,3,5:00,852454c572675334
a7492cbfb9b5d4a3,drawdraw,4a57ebb14315b251,cd2c4d30c6e13b47,Randa Markos,Marina Rodriguez,0,0,48,60,2,0,0,0,Women's Strawweight,M-DEC,3,5:00,852454c572675334
ba766bd03090dab9,win,07225ba28ae309b6,de45aaae23dfa392,Charles Oliveira,Christos Giagos,0,0,28,18,2,0,1,0,Lightweight,SUB Rear Naked Choke,2,3:22,852454c572675334
3d9398386c84109b,win,a8283a4f415e1eb9,e5c9de15bb58b1c6,Francisco Trinaldo,Evan Dunham,1,0,28,25,0,1,0,0,Lightweight,KO/TKO Knee,2,4:10,852454c572675334
30eaf1650bc359b3,win,a67f5afa8d6a1b80,e5bda12faabfc850,Ryan Spann,Luis Henrique,0,0,46,30,0,4,1,1,Light Heavyweight,U-DEC,3,5:00,852454c572675334
d7c7b312279104d2,win,441eacbe20e0e80b,01b352b6a9074d5c,Augusto Sakai,Chase Sherman,0,0,111,79,1,0,0,0,Heavyweight,KO/TKO Punches,3,4:03,852454c572675334
b509c337d181c567,win,1bcaac2d99b90fce,484acc7b0f856ce9,Sergio Moraes,Ben Saunders,0,0,2,1,2,0,2,0,Welterweight,SUB Arm Triangle,2,4:42,852454c572675334
0c618cd41b88c558,win,cc8c623cca88f54f,38c7f72747f4f712,Mayra Bueno Silva,Gillian Robertson,0,0,11,11,0,1,1,0,Women's Flyweight,SUB Armbar,1,4:55,852454c572675334
c5479f20e4db357d,win,cfb65863d5099327,db1f2ed63b54b9a7,Thales Leites,Hector Lombard,0,0,54,46,2,0,0,0,Middleweight,U-DEC,3,5:00,852454c572675334
1c6d3ef6beb9966e,win,8adcbd525fab8d9b,2f1a257d6777096d,Elizeu Zaleski dos Santos,Luigi Vendramini,1,0,15,4,0,0,0,1,Welterweight,KO/TKO Flying Knee,2,1:20,852454c572675334
